  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
HD 52244       ,Be*,104.9435803,-16.20075711,228.3264304,-5.516982766,B2IVnpe             ,1859.648661
HD 74401       ,Be*,130.5015916,-47.66497251,266.2309957,-3.382043196,B1IIIne             ,1868.254621
HD 244610      ,Em*,83.17461877,26.78881913,180.2977528,-3.560398442,B3e                 ,1871.085289
HD 304946      ,Em*,152.5382972,-60.36207382,284.2338756,-3.484026702,B2                  ,1873.280994
HD 303887      ,Em*,167.717843,-58.21718404,289.9923109,2.105419168,B5                  ,1882.998587
HD 37318       ,Be*,84.74173572,28.46013745,179.6356512,-1.490757982,B1Vne               ,1886.00357
BD+49 3615     ,Be*,326.4673477,50.29248215,95.35192268,-2.370933039,B1V:                ,1888.93623
HD 163454      ,Be*,269.3831945,-31.01506102,359.5270935,-3.279034173,B1IVne              ,1893.312659
HD 150660      ,Em*,251.3077999,-53.94480655,333.1844924,-5.42512219,B3e                 ,1893.53361
BD+52 131      ,Em*,9.610091469,53.34735647,120.9659981,-9.474772917,B5                  ,1893.848264
HD 187350      ,Be*,297.389391,-1.101033382,38.67141954,-13.41518598,B1Vne               ,1894.777234
BD+56 502      ,Be*,34.63657036,57.21102774,134.5465311,-3.683300194,B1.0V               ,1898.596615
HD 145107      ,*  ,242.9148559,-51.61934347,331.3571355,-0.152733249,B5II/IIIe           ,1902.009106
HD 298298      ,Be*,137.1144024,-52.57774011,272.7256269,-3.308451392,B0                  ,1910.207098
HD 316341      ,Be*,267.1480533,-29.95799768,359.4614709,-1.082964362,B0Ve                ,1945.978434
HD 228684      ,Em*,304.1265393,35.10869761,73.25979416,-0.104912845,B3II                ,1965.915131
HD 73903       ,Be*,129.7453247,-46.22709745,264.7745756,-2.913824424,B3II                ,1979.855663
CD-45 4355     ,Be*,129.7738109,-46.24595779,264.8015587,-2.909613713,B1Vne               ,1979.917282
CD-61 3483     ,Be*,187.1545847,-61.85387364,300.243924,0.898720623,B2IVn(e)            ,2005.834971
HD 167775      ,Em*,274.4844165,-29.2572681,3.202496026,-6.301545098,B5IV/Vn(e)          ,2022.311273
HD 63423       ,Be*,116.8974902,-30.5486226,246.17442,-2.627746789,B1Ib/II             ,2024.113098
HD 300023      ,Em*,142.2558121,-54.43356484,276.1955877,-2.428243433,B3                  ,2034.834032
HD 240458      ,Em*,359.4053599,55.85861752,115.384021,-6.222456158,B0                  ,2037.828622
HD 134889      ,Em*,228.5761599,-51.30520787,324.4410553,5.500559166,B5Ib/II             ,2040.454733
HD 232552      ,Be*,28.10872217,55.33159611,131.5926359,-6.511139436,B0pe                ,2047.539055
BD+49 3587     ,Em*,324.9520645,50.43572132,94.71288049,-1.631375982,B0                  ,2049.032869
HD 236940      ,Be*,31.20183836,56.26201372,133.0392089,-5.163164846,B2                  ,2060.239245
HD 110863      ,Be*,191.4748253,-60.55151764,302.2506625,2.31290586,B2II/III            ,2066.037775
HD 88648       ,Be*,152.9011514,-59.88378437,284.1067496,-2.988727978,B5V                 ,2080.644408
HD 158864      ,Be*,263.4849806,-45.62725153,344.5743609,-6.861362548,B2Ib/IIep           ,2089.27094
HD 327341      ,Em*,259.3679766,-43.89462615,344.3924426,-3.468670456,B3                  ,2102.544124
HD 99146       ,Be*,170.9706886,-59.30481786,291.9564161,1.688334707,OBe                 ,2118.222852
BD+62 11       ,Be*,2.69550808,63.17293917,118.3638061,0.662349291,B5V                 ,2121.736621
V* AI Cru      ,Al*,181.5320341,-61.2568968,297.5110066,1.137052612,B2IVe               ,2121.813942
BD+56 559      ,Be*,35.32531262,57.30613796,134.8660901,-3.468628133,B1IIIe              ,2126.211421
HD 333452      ,Be*,300.7958991,28.70567706,66.35132102,-1.225259102,B0                  ,2143.582934
HD 306196      ,Em*,168.622698,-61.05595942,291.4726299,-0.359724341,B5                  ,2146.89968
BD+46 3062     ,Em*,312.3185026,47.05138682,86.51725321,2.036880248,B5                  ,2152.212167
HD 32190       ,Be*,75.56622272,24.02916658,178.6464473,-10.78100327,B1Ve                ,2163.006661
HD 166568      ,Be*,273.0166718,-18.72651408,11.85906335,-0.132269951,B2II                ,2171.081238
CD-62 623      ,Be*,183.1774374,-63.59987588,298.6426574,-1.051116938,B3V:ne              ,2207.170734
HD 316568      ,Be*,268.6779378,-29.72989882,0.334728056,-2.108124875,B3                  ,2214.062817
BD+56 534      ,Be*,34.860458,57.078397,134.705519,-3.767998,B3Ve                ,2223.228175
HD 69425       ,Be*,123.8767111,-37.11750314,254.8149512,-1.182652454,B2n                 ,2223.812317
HD 246579      ,Em*,85.82191511,33.43240455,175.9058854,1.925926131,B0e                 ,2238.268134
